end_date,3DS,DC,DS,GBA,GC,NeoGeoP,Switch,PS2,PS3,PS4,PS5,PSP,WS,Vita,Wii,WiiU,XB360,XBOne,XSX,Xbox,PKS
2007-12-16,,,20591376.0,14930867.0,,,,20268174.0,1572988.0,,,7215308.0,,,4193240.0,,531069.0,,,,
2007-12-23,,,20910427.0,14931366.0,,,,20292255.0,1623669.0,,,7377321.0,,,4456958.0,,539140.0,,,,
2007-12-30,,,21163609.0,14931903.0,,,,20324765.0,1683197.0,,,7550957.0,,,4659119.0,,550157.0,,,,
2008-01-06,,,21416791.0,14932440.0,,,,20357275.0,1742725.0,,,7724593.0,,,4861280.0,,561174.0,,,,
2008-01-13,,,21519710.0,14932759.0,,,,20372231.0,1777047.0,,,7808269.0,,,4943512.0,,566717.0,,,,
2008-01-20,,,21610246.0,14933002.0,,,,20385027.0,1809311.0,,,7873547.0,,,5019336.0,,571154.0,,,,
2008-01-27,,,21684109.0,14933177.0,,,,20396065.0,1838779.0,,,7935032.0,,,5098409.0,,575349.0,,,,
2008-02-03,,,21749597.0,14933374.0,,,,20406919.0,1874866.0,,,7985363.0,,,5203979.0,,581153.0,,,,
2008-02-10,,,21806731.0,14933500.0,,,,20416704.0,1896344.0,,,8057052.0,,,5287398.0,,584031.0,,,,
2008-02-17,,,21866075.0,14933661.0,,,,20426902.0,1914656.0,,,8107806.0,,,5366962.0,,587009.0,,,,
2008-02-24,,,21914397.0,14933825.0,,,,20434713.0,1927910.0,,,8158602.0,,,5430036.0,,589428.0,,,,
2008-03-02,,,21964891.0,14934013.0,,,,20444644.0,1941803.0,,,8236564.0,,,5495193.0,,592142.0,,,,
2008-03-09,,,22010262.0,14934138.0,,,,20453439.0,1963216.0,,,8302160.0,,,5546435.0,,594647.0,,,,
2008-03-16,,,22057283.0,14934326.0,,,,20462617.0,1981051.0,,,8368580.0,,,5597383.0,,597165.0,,,,
2008-03-23,,,22112826.0,14934551.0,,,,20471661.0,1996955.0,,,8434672.0,,,5646917.0,,599788.0,,,,
2008-03-30,,,22169521.0,14934789.0,,,,20481424.0,2009489.0,,,8574017.0,,,5695578.0,,602555.0,,,,
2008-04-06,,,22221613.0,,,,,20491748.0,2020111.0,,,8687227.0,,,5741327.0,,604866.0,,,,
2008-04-13,,,22262509.0,,,,,20499942.0,2028489.0,,,8777021.0,,,5791482.0,,607108.0,,,,
2008-04-20,,,22299880.0,,,,,20507985.0,2036665.0,,,8855968.0,,,5833571.0,,608877.0,,,,
2008-04-27,,,22342836.0,,,,,20516489.0,2047486.0,,,8949310.0,,,5891029.0,,610872.0,,,,
2008-05-04,,,22385792.0,,,,,20524993.0,2058307.0,,,9042652.0,,,5948487.0,,612867.0,,,,
2008-05-11,,,22433757.0,,,,,20532976.0,2066788.0,,,9115951.0,,,6019027.0,,614535.0,,,,
2008-05-18,,,22467470.0,,,,,20538717.0,2073737.0,,,9171703.0,,,6059041.0,,615937.0,,,,
2008-05-25,,,22503362.0,,,,,20545304.0,2081839.0,,,9225634.0,,,6102750.0,,617631.0,,,,
2008-06-01,,,22540056.0,,,,,20551862.0,2090505.0,,,9280389.0,,,6148140.0,,619374.0,,,,
2008-06-08,,,22572868.0,,,,,20557666.0,2100614.0,,,9333110.0,,,6190462.0,,621433.0,,,,
2008-06-15,,,22611303.0,,,,,20564884.0,2177822.0,,,9389111.0,,,6234801.0,,623499.0,,,,
2008-06-22,,,22648035.0,,,,,20571735.0,2202656.0,,,9443883.0,,,6278626.0,,625435.0,,,,
2008-06-29,,,22699076.0,,,,,20579841.0,2221333.0,,,9499765.0,,,6338740.0,,628595.0,,,,
2008-07-06,,,22748342.0,,,,,20591097.0,2238287.0,,,9552023.0,,,6384607.0,,631750.0,,,,
2008-07-13,,,22795016.0,,,,,20602369.0,2252295.0,,,9609260.0,,,6425971.0,,634529.0,,,,
2008-07-20,,,22856105.0,,,,,20612647.0,2264262.0,,,9685301.0,,,6468468.0,,638184.0,,,,
2008-07-27,,,22916715.0,,,,,20622354.0,2276156.0,,,9756530.0,,,6510591.0,,643034.0,,,,
2008-08-03,,,22980022.0,,,,,20630980.0,2287081.0,,,9826378.0,,,6551500.0,,649402.0,,,,
2008-08-10,,,23057505.0,,,,,20640752.0,2298433.0,,,9892748.0,,,6594489.0,,665144.0,,,,
2008-08-17,,,23134988.0,,,,,20650524.0,2309785.0,,,9959118.0,,,6637478.0,,680886.0,,,,
2008-08-24,,,23191558.0,,,,,20658354.0,2318074.0,,,10005537.0,,,6666857.0,,684691.0,,,,
2008-08-31,,,23249962.0,,,,,20667434.0,2328875.0,,,10048474.0,,,6691202.0,,687747.0,,,,
2008-09-07,,,23299211.0,,,,,20675212.0,2337365.0,,,10081026.0,,,6720467.0,,688590.0,,,,
2008-09-14,,,23362336.0,,,,,20682756.0,2345415.0,,,10107066.0,,,6747524.0,,717271.0,,,,
2008-09-21,,,23424889.0,,,,,20690089.0,2353640.0,,,10132847.0,,,6774797.0,,730972.0,,,,
2008-09-28,,,23484439.0,,,,,20700692.0,2361946.0,,,10157748.0,,,6800750.0,,741294.0,,,,
2008-10-05,,,23529712.0,,,,,20709326.0,2369481.0,,,10181879.0,,,6826609.0,,748988.0,,,,
2008-10-12,,,23563710.0,,,,,20716853.0,2375380.0,,,10201752.0,,,6848115.0,,755678.0,,,,
2008-10-19,,,23598174.0,,,,,20724669.0,2380182.0,,,10357472.0,,,6873576.0,,761660.0,,,,
2008-10-26,,,23624178.0,,,,,20732136.0,2384289.0,,,10424309.0,,,6899035.0,,768518.0,,,,
2008-11-02,,,23811946.0,,,,,20738967.0,2420605.0,,,10474340.0,,,6924413.0,,774853.0,,,,
2008-11-09,,,23918016.0,,,,,20745098.0,2446312.0,,,10521366.0,,,6952929.0,,784530.0,,,,
2008-11-16,,,24006458.0,,,,,20751065.0,2469445.0,,,10566921.0,,,6984028.0,,793101.0,,,,
2008-11-23,,,24126934.0,,,,,20756926.0,2487796.0,,,10633170.0,,,7024236.0,,806772.0,,,,
2008-11-30,,,24239349.0,,,,,20763792.0,2522632.0,,,10691420.0,,,7065806.0,,818419.0,,,,
2008-12-07,,,24381683.0,,,,,20770932.0,2548675.0,,,10740878.0,,,7120445.0,,828305.0,,,,
2008-12-14,,,24596705.0,,,,,20779869.0,2579027.0,,,10810030.0,,,7213427.0,,840506.0,,,,
2008-12-21,,,24859633.0,,,,,20789565.0,2616046.0,,,10958439.0,,,7364533.0,,853104.0,,,,
2008-12-28,,,25126911.0,,,,,20805569.0,2674452.0,,,11103061.0,,,7516398.0,,869077.0,,,,
2009-01-04,,,25394189.0,,,,,20821573.0,2732858.0,,,11247683.0,,,7668263.0,,885050.0,,,,
2009-01-11,,,25503003.0,,,,,20830979.0,2761367.0,,,11317157.0,,,7711801.0,,893655.0,,,,
2009-01-18,,,25584004.0,,,,,20838027.0,2779959.0,,,11365355.0,,,7742449.0,,901241.0,,,,
2009-01-25,,,25642481.0,,,,,20843971.0,2796647.0,,,11406083.0,,,7768001.0,,908381.0,,,,
2009-02-01,,,25704952.0,,,,,20850257.0,2812713.0,,,11448476.0,,,7792796.0,,915414.0,,,,
2009-02-08,,,25756385.0,,,,,20856258.0,2828265.0,,,11484045.0,,,7813544.0,,923119.0,,,,
2009-02-15,,,25817136.0,,,,,20862339.0,2846779.0,,,11516148.0,,,7834627.0,,933430.0,,,,
2009-02-22,,,25864137.0,,,,,20867407.0,2862443.0,,,11546158.0,,,7853816.0,,958014.0,,,,
2009-03-01,,,25916128.0,,,,,20873137.0,2897720.0,,,11586372.0,,,7875867.0,,971217.0,,,,
2009-03-08,,,25961299.0,,,,,20878123.0,2938100.0,,,11647375.0,,,7895455.0,,985020.0,,,,
2009-03-15,,,26004371.0,,,,,20883311.0,2966278.0,,,11692371.0,,,7914738.0,,992438.0,,,,
2009-03-22,,,26083743.0,,,,,20888723.0,2990560.0,,,11753714.0,,,7934367.0,,997585.0,,,,
2009-03-29,,,26152724.0,,,,,20894390.0,3009391.0,,,11804580.0,,,7953151.0,,1001186.0,,,,
2009-04-05,,,26218942.0,,,,,20900699.0,3027006.0,,,11851843.0,,,7970198.0,,1006914.0,,,,
2009-04-12,,,26264266.0,,,,,20905903.0,3040515.0,,,11890254.0,,,7985738.0,,1015862.0,,,,
2009-04-19,,,26305056.0,,,,,20910585.0,3097381.0,,,11926021.0,,,8000537.0,,1023490.0,,,,
2009-04-26,,,26347844.0,,,,,20915406.0,3117921.0,,,11965231.0,,,8020267.0,,1028567.0,,,,
2009-05-03,,,26401677.0,,,,,20921782.0,3135084.0,,,12011005.0,,,8040373.0,,1035170.0,,,,
2009-05-10,,,26455510.0,,,,,20928158.0,3152247.0,,,12056779.0,,,8060479.0,,1041773.0,,,,
2009-05-17,,,26494641.0,,,,,20932531.0,3161496.0,,,12086572.0,,,8073509.0,,1045866.0,,,,
2009-05-24,,,26530074.0,,,,,20937269.0,3170547.0,,,12114837.0,,,8087683.0,,1050703.0,,,,
2009-05-31,,,26594467.0,,,,,20942483.0,3181203.0,,,12147086.0,,,8101970.0,,1056695.0,,,,
2009-06-07,,,26633903.0,,,,,20947056.0,3189566.0,,,12175428.0,,,8115396.0,,1062573.0,,,,
2009-06-14,,,26669706.0,,,,,20951564.0,3197908.0,,,12202183.0,,,8128997.0,,1069076.0,,,,
2009-06-21,,,26712266.0,,,,,20956392.0,3206589.0,,,12228949.0,,,8145741.0,,1075135.0,,,,
2009-06-28,,,26756972.0,,,,,20961393.0,3216963.0,,,12255986.0,,,8166605.0,,1080383.0,,,,
2009-07-05,,,26813475.0,,,,,20966882.0,3227465.0,,,12292260.0,,,8190714.0,,1085433.0,,,,
2009-07-12,,,26966807.0,,,,,20972105.0,3236516.0,,,12321811.0,,,8211564.0,,1088600.0,,,,
2009-07-19,,,27083824.0,,,,,20977115.0,3244830.0,,,12346950.0,,,8230979.0,,1091335.0,,,,
2009-07-26,,,27176816.0,,,,,20982252.0,3253047.0,,,12376768.0,,,8252746.0,,1093745.0,,,,
2009-08-02,,,27261564.0,,,,,20987848.0,3261155.0,,,12410056.0,,,8345536.0,,1096385.0,,,,
2009-08-09,,,27343410.0,,,,,20994374.0,3268223.0,,,12446520.0,,,8391573.0,,1101704.0,,,,
2009-08-16,,,27425256.0,,,,,21000900.0,3275291.0,,,12482984.0,,,8437610.0,,1107023.0,,,,
2009-08-23,,,27488897.0,,,,,21005333.0,3279034.0,,,12508605.0,,,8463150.0,,1113167.0,,,,
2009-08-30,,,27554480.0,,,,,21009458.0,3281127.0,,,12534297.0,,,8485857.0,,1118897.0,,,,
2009-09-06,,,27619147.0,,,,,21013146.0,3431959.0,,,12556842.0,,,8503944.0,,1123511.0,,,,
2009-09-13,,,27694779.0,,,,,21016320.0,3486248.0,,,12576679.0,,,8519223.0,,1130365.0,,,,
2009-09-20,,,27775383.0,,,,,21019206.0,3541393.0,,,12598603.0,,,8534666.0,,1134395.0,,,,
2009-09-27,,,27851540.0,,,,,21022670.0,3591066.0,,,12618184.0,,,8547548.0,,1138045.0,,,,
2009-10-04,,,27914884.0,,,,,21025438.0,3627703.0,,,12673443.0,,,8579738.0,,1140652.0,,,,
