,Switch,PS5,PS4,WiiU,3DS,DC,DS,GBA,GC,NeoGeoP,PS2,PS3,PSP,WS,Vita,Wii,XB360,XBOne,XSX,Xbox,PKS
323.0,,,942286.0,,4694716.0,,,,,,3232622.0,1210240.0,,,980783.0,3650396.0,168897.0,,,,2443932.0
324.0,3636732.0,,,,,1027878.0,,,1479788.0,,,,,,,,,,,,
325.0,,1085018.0,,,,,3265159.0,,,,,,,739325.0,,,,56049.0,,280962.0,
326.0,,,,,,,,4764173.0,,130617.0,,,,,,,,,,,
327.0,,,,,,,,,,,,,,,,,,,99143.0,,
329.0,,,,1078560.0,,,,,,,,,,,,,,,,,
330.0,,,955360.0,,4772235.0,,,,,,3276839.0,1221265.0,,,985046.0,3685162.0,175273.0,,,,
331.0,3676205.0,,,,,1037436.0,,,1492648.0,,,,,,,,,,,,
332.0,,1100903.0,,,,,3311405.0,,,,,,,746951.0,,,,56169.0,,283935.0,
333.0,,,,,,,,4803175.0,,131143.0,,,,,,,,,,,
334.0,,,,,,,,,,,,,,,,,,,102590.0,,
336.0,,,,1081643.0,,,,,,,,,,,,,,,,,
337.0,,,966873.0,,4853934.0,,,,,,3327618.0,1229639.0,,,997065.0,3725998.0,179511.0,,,,2549833.0
338.0,3722722.0,,,,,1050862.0,,,1505508.0,,,,,,,,,,,,
339.0,,1119612.0,,,,,3365353.0,,,,,,,752500.0,,,,56506.0,,286597.0,
340.0,,,,,,,,4838481.0,,131317.0,,,,,,,,,,,
341.0,,,,,,,,,,,,,,,,,,,106777.0,,
343.0,,,,1084653.0,,,,,,,,,,,,,,,,,
344.0,,,980844.0,,4923114.0,,,,,,3374481.0,1241384.0,,,1006311.0,3760818.0,183868.0,,,,2655734.0
345.0,3766244.0,,,,,1063708.0,,,1517845.0,,,,,,,,,,,,
346.0,,1133892.0,,,,,3421451.0,,,,,,,758466.0,,,,56714.0,,289047.0,
347.0,,,,,,,,4867515.0,,131374.0,,,,,,,,,,,
348.0,,,,,,,,,,,,,,,,,,,110666.0,,
350.0,,,,1124771.0,,,,,,,,,,,,,,,,,
351.0,,,995656.0,,4983345.0,,,,,,3414751.0,1257423.0,,,1016141.0,3797231.0,190668.0,,,,2749314.0
352.0,3806899.0,,,,,1075238.0,,,1532318.0,,,,,,,,,,,,
353.0,,1157908.0,,,,,3488683.0,,,,,,,762769.0,,,,56854.0,,291702.0,
354.0,,,,,,,,4898461.0,,131428.0,,,,,,,,,,,
355.0,,,,,,,,,,,,,,,,,,,113528.0,,
357.0,,,,1138831.0,,,,,,,,,,,,,,,,,
358.0,,,1013637.0,,5072254.0,,,,,,3453667.0,1273553.0,,,1026489.0,3844355.0,195275.0,,,,2799901.0
359.0,3848193.0,,,,,1084491.0,,,1545680.0,,,,,,,,,,,,
360.0,,1168028.0,,,,,3651081.0,,,,,,,770324.0,,,,57085.0,,293495.0,
